pedido_id,cliente_id,data_pedido,hora_pedido,status,forma_pagamento,frete,desconto_pct,data_entrega,canal_venda,subtotal_produtos,desconto_valor,valor_total
25,15,2026-04-22,07:23:09,processando,cartão crédito,47.33,10,,marketplace,2108.23,210.82,1944.74
26,393,2024-07-04,01:35:01,enviado,cartão débito,30.84,0,,marketplace,595.28,0.0,626.12
27,155,2026-05-20,17:43:40,enviado,cartão débito,40.15,5,,marketplace,515.01,25.75,529.41
28,31,2024-09-08,14:13:37,concluído,cartão crédito,20.74,0,2024-09-20,marketplace,636.96,0.0,657.7
29,161,2025-03-29,19:28:29,enviado,pix,15.93,20,,marketplace,734.2,146.84,603.29
30,67,2026-05-28,21:57:08,cancelado,pix,25.7,0,,app,801.06,0.0,826.76
31,231,2025-08-17,05:30:23,concluído,cartão crédito,4.83,0,2025-08-22,loja física,536.9,0.0,541.73
32,215,2024-10-08,00:27:08,processando,cartão crédito,43.18,0,,marketplace,3488.3,0.0,3531.48
33,370,2024-11-01,18:28:26,cancelado,cartão crédito,38.08,0,,loja física,3014.61,0.0,3052.69
34,255,2026-01-17,12:13:58,concluído,cartão crédito,47.17,5,2026-01-22,app,977.29,48.86,975.6
35,25,2025-05-08,18:58:52,concluído,cartão crédito,24.7,15,2025-05-14,loja física,7097.91,1064.69,6057.92
36,434,2024-12-19,04:09:35,concluído,cartão crédito,6.68,0,2024-12-20,marketplace,2236.52,0.0,2243.2
37,188,2026-01-23,23:19:11,enviado,cartão crédito,2.55,5,,marketplace,135.81,6.79,131.57
38,198,2026-05-14,02:57:16,concluído,cartão débito,38.14,0,2026-05-16,site,2997.78,0.0,3035.92
39,202,2026-01-08,16:12:58,concluído,cartão crédito,49.24,5,2026-01-10,marketplace,1341.76,67.09,1323.91
40,102,2025-12-16,21:25:34,enviado,cartão débito,20.03,0,,site,646.88,0.0,666.91
41,412,2025-03-01,15:46:32,concluído,cartão débito,22.8,5,2025-03-07,app,8056.42,402.82,7676.4
42,164,2025-07-04,17:35:11,concluído,cartão crédito,49.43,10,2025-07-14,marketplace,864.23,86.42,827.24
43,425,2025-12-06,16:54:38,concluído,cartão débito,24.44,5,2025-12-15,loja física,9150.76,457.54,8717.66
44,189,2025-06-18,10:22:09,processando,cartão crédito,5.47,0,,marketplace,132.3,0.0,137.77
45,372,2025-10-10,02:40:42,enviado,pix,31.4,5,,marketplace,646.14,32.31,645.23
46,401,2025-11-20,16:10:14,cancelado,boleto,28.87,0,,site,20403.09,0.0,20431.96
47,269,2025-03-16,21:10:50,concluído,cartão débito,30.92,10,2025-03-19,app,368.6,36.86,362.66
48,125,2025-11-26,20:40:04,processando,cartão crédito,47.32,0,,site,1138.7,0.0,1186.02
49,78,2024-07-18,17:29:24,concluído,cartão crédito,10.17,5,2024-07-25,loja física,4071.85,203.59,3878.43
50,377,2025-10-22,11:34:17,processando,pix,35.22,5,,marketplace,15132.66,756.63,14411.25
51,245,2025-03-30,04:55:43,cancelado,cartão débito,15.66,0,,marketplace,612.78,0.0,628.44
52,396,2026-05-24,13:21:34,concluído,pix,33.97,10,2026-06-04,marketplace,1087.3,108.73,1012.54
53,99,2025-04-29,06:28:58,enviado,boleto,13.92,0,,marketplace,923.52,0.0,937.44
54,361,2025-12-27,07:34:22,enviado,cartão crédito,35.18,0,,marketplace,12689.26,0.0,12724.44
55,408,2024-12-12,14:19:51,concluído,pix,14.36,5,2024-12-27,loja física,1159.83,57.99,1116.2
56,203,2024-12-09,03:34:58,processando,pix,47.63,10,,marketplace,1432.17,143.22,1336.58
57,41,2025-06-09,23:14:52,concluído,cartão crédito,22.07,0,2025-06-21,loja física,2939.07,0.0,2961.14
58,276,2024-06-30,17:03:56,concluído,cartão crédito,28.04,0,2024-07-14,site,2415.56,0.0,2443.6
59,301,2026-05-20,15:13:00,enviado,cartão crédito,2.53,15,,app,7480.18,1122.03,6360.68
60,27,2026-02-25,11:34:22,enviado,cartão crédito,16.48,0,,app,1740.36,0.0,1756.84
61,476,2025-03-11,15:02:55,concluído,cartão crédito,32.58,15,2025-03-20,loja física,66.68,10.0,89.26
62,388,2025-10-06,23:36:32,concluído,boleto,16.03,5,2025-10-10,site,666.97,33.35,649.65
63,119,2025-12-04,17:00:41,enviado,cartão débito,36.08,15,,app,1646.01,246.9,1435.19
64,91,2025-11-11,07:17:06,concluído,boleto,1.81,10,2025-11-25,loja física,1751.54,175.15,1578.2
65,493,2024-06-25,20:31:46,concluído,pix,14.44,0,2024-07-07,marketplace,940.95,0.0,955.39
66,476,2025-11-27,15:36:27,concluído,boleto,14.2,20,2025-11-29,loja física,1636.3700000000001,327.27,1323.3
67,69,2025-11-02,22:53:28,processando,pix,23.35,0,,site,28891.78,0.0,28915.13
68,235,2025-10-18,03:41:13,concluído,cartão débito,35.86,0,2025-10-30,marketplace,946.72,0.0,982.58
69,291,2024-09-26,18:33:39,enviado,pix,9.64,5,,loja física,5890.29,294.51,5605.42
70,264,2024-12-23,21:21:19,processando,cartão crédito,20.0,0,,app,1535.68,0.0,1555.68
71,128,2025-09-17,03:56:10,concluído,cartão crédito,19.14,0,2025-10-02,marketplace,3745.15,0.0,3764.29
72,155,2025-05-23,16:23:18,cancelado,cartão débito,28.59,0,,marketplace,37.94,0.0,66.53
73,32,2025-11-14,21:47:51,enviado,pix,23.22,0,,marketplace,215.38,0.0,238.6
74,328,2024-09-26,08:55:31,enviado,boleto,14.72,5,,app,901.95,45.1,871.57
75,245,2024-12-18,10:04:14,cancelado,cartão crédito,37.31,5,,loja física,737.2,36.86,737.65
76,468,2024-12-13,01:56:39,enviado,cartão débito,26.82,5,,app,587.0,29.35,584.47
77,349,2025-09-14,14:40:30,enviado,pix,43.57,0,,loja física,636.96,0.0,680.53
78,40,2025-08-27,02:52:13,concluído,boleto,5.6,10,2025-09-02,app,425.72,42.57,388.75
79,85,2025-10-31,13:38:39,concluído,cartão crédito,25.97,0,2025-11-03,app,385.05,0.0,411.02
80,251,2026-03-19,12:47:29,enviado,cartão crédito,25.47,10,,loja física,1704.78,170.48,1559.77
81,234,2024-10-07,07:01:23,concluído,cartão débito,27.88,5,2024-10-14,marketplace,318.48,15.92,330.44
82,203,2024-06-13,11:47:01,enviado,cartão crédito,0.15,0,,site,1092.12,0.0,1092.27
83,359,2024-09-02,13:48:53,concluído,cartão crédito,49.61,15,2024-09-08,site,6192.259999999999,928.84,5313.03
84,242,2026-01-23,17:45:40,cancelado,cartão crédito,20.4,10,,loja física,1476.1499999999999,147.61,1348.94
85,196,2024-08-14,14:30:10,concluído,cartão crédito,45.76,0,2024-08-29,site,963.08,0.0,1008.84
86,339,2025-10-17,10:14:09,enviado,pix,6.64,15,,site,1821.12,273.17,1554.59
87,202,2025-12-08,15:09:35,concluído,cartão débito,36.32,0,2025-12-17,site,9796.71,0.0,9833.03
88,153,2026-05-17,01:43:59,enviado,cartão débito,35.88,0,,loja física,2851.02,0.0,2886.9
89,127,2025-03-29,10:33:32,processando,cartão débito,7.74,0,,site,1233.48,0.0,1241.22
90,215,2025-04-08,18:50:48,concluído,cartão débito,46.72,15,2025-04-19,app,4179.389999999999,626.91,3599.2
91,305,2025-12-04,07:53:33,concluído,cartão crédito,29.83,10,2025-12-06,site,1076.4,107.64,998.59
92,206,2025-09-02,04:37:13,concluído,cartão crédito,26.93,10,2025-09-03,site,107.38,10.74,123.57
93,120,2026-05-04,17:34:27,concluído,pix,36.5,0,2026-05-09,marketplace,468.7,0.0,505.2
94,74,2024-08-05,07:35:57,concluído,boleto,26.01,0,2024-08-20,marketplace,19.62,0.0,45.63
95,451,2025-07-11,16:01:44,concluído,pix,8.74,5,2025-07-21,loja física,1133.33,56.67,1085.4
96,483,2026-05-11,16:28:46,concluído,cartão débito,19.02,5,2026-05-17,loja física,714.6,35.73,697.89
97,193,2024-10-28,13:43:06,concluído,cartão crédito,26.84,0,2024-11-02,app,5817.78,0.0,5844.62
98,74,2026-04-15,07:44:11,concluído,pix,45.65,5,2026-04-27,loja física,574.18,28.71,591.12
99,199,2025-04-28,10:03:42,concluído,cartão crédito,10.15,5,2025-05-01,loja física,241.59,12.08,239.66
100,48,2024-10-10,16:58:26,processando,cartão débito,41.39,0,,loja física,1259.43,0.0,1300.82
101,309,2026-03-10,09:27:03,enviado,cartão crédito,3.63,10,,app,1954.83,195.48,1762.98
102,465,2025-05-01,11:15:32,concluído,cartão crédito,47.76,0,2025-05-15,app,37.94,0.0,85.7
103,61,2024-12-17,07:39:34,cancelado,pix,37.64,15,,app,1344.45,201.67,1180.42
104,283,2025-11-23,06:34:14,concluído,cartão crédito,14.12,0,2025-11-27,marketplace,3113.63,0.0,3127.75
105,263,2025-01-24,15:34:44,concluído,pix,23.25,10,2025-01-30,loja física,180.66,18.07,185.84
106,164,2025-06-27,18:31:52,enviado,boleto,18.5,0,,app,9240.32,0.0,9258.82
107,9,2025-07-23,01:23:27,enviado,cartão crédito,46.64,5,,loja física,5702.04,285.1,5463.58
108,169,2025-10-28,08:52:04,concluído,cartão crédito,28.43,0,2025-11-01,marketplace,1535.68,0.0,1564.11
109,251,2026-04-23,14:10:06,concluído,boleto,32.02,0,2026-05-07,app,57.24,0.0,89.26
110,181,2025-03-28,05:29:41,enviado,cartão crédito,35.94,0,,site,734.25,0.0,770.19
111,434,2025-09-02,03:07:00,concluído,cartão crédito,40.82,0,2025-09-16,site,419.81,0.0,460.63
112,323,2025-01-29,02:56:24,concluído,cartão crédito,35.29,0,2025-02-12,loja física,146.84,0.0,182.13
113,327,2025-12-25,23:18:32,concluído,pix,30.76,0,2026-01-04,loja física,1260.42,0.0,1291.18
114,283,2025-04-19,14:44:44,concluído,cartão crédito,0.83,10,2025-04-28,marketplace,3350.46,335.05,3016.24
115,358,2026-01-09,08:42:39,concluído,pix,40.23,15,2026-01-23,site,10134.560000000001,1520.18,8654.61
116,269,2026-04-15,15:05:12,processando,cartão crédito,9.58,5,,marketplace,131.31,6.57,134.32
117,41,2026-05-22,20:22:57,concluído,cartão crédito,20.26,5,2026-05-29,app,1609.32,80.47,1549.11
118,435,2025-12-21,02:12:57,concluído,cartão crédito,49.48,5,2026-01-04,site,2143.33,107.17,2085.64
119,194,2026-04-10,04:55:24,concluído,cartão débito,2.8,0,2026-04-17,app,1260.27,0.0,1263.07
120,223,2024-08-11,22:31:08,concluído,cartão débito,16.53,20,2024-08-25,site,300.08,60.02,256.59
121,471,2024-08-27,18:48:51,processando,cartão crédito,10.55,15,,loja física,1677.39,251.61,1436.33
122,39,2025-10-11,01:03:26,concluído,pix,13.99,5,2025-10-26,site,7736.490000000001,386.82,7363.66
123,162,2025-08-22,16:03:13,concluído,cartão crédito,10.34,0,2025-09-05,loja física,425.72,0.0,436.06
124,154,2026-01-28,04:22:11,cancelado,cartão crédito,12.0,10,,loja física,605.81,60.58,557.23
125,277,2026-02-13,08:54:30,enviado,cartão crédito,37.7,0,,site,139.98,0.0,177.68
126,28,2025-02-26,09:44:43,concluído,cartão crédito,11.58,0,2025-03-04,loja física,567.65,0.0,579.23
127,168,2026-02-26,08:06:30,cancelado,cartão crédito,13.64,20,,loja física,7232.38,1446.48,5799.54
128,482,2024-09-22,18:10:12,concluído,cartão crédito,9.27,5,2024-10-01,loja física,4418.44,220.92,4206.79
129,152,2024-12-29,20:43:09,concluído,pix,35.58,0,2025-01-08,app,2416.5299999999997,0.0,2452.11
130,325,2026-01-06,11:08:17,concluído,cartão crédito,19.44,0,2026-01-19,site,2099.05,0.0,2118.49
131,228,2024-11-13,15:38:14,concluído,cartão crédito,13.46,0,2024-11-18,app,283.95,0.0,297.41
132,285,2026-05-27,06:34:08,concluído,cartão débito,5.15,0,2026-06-05,site,460.02000000000004,0.0,465.17
133,167,2026-01-06,02:56:21,concluído,pix,0.62,0,2026-01-19,site,533.96,0.0,534.58
134,287,2025-04-09,00:30:02,enviado,boleto,48.81,5,,app,810.12,40.51,818.42
135,87,2025-11-28,20:16:12,enviado,cartão crédito,15.03,0,,site,671.75,0.0,686.78
136,216,2025-01-29,05:12:17,concluído,cartão crédito,39.06,0,2025-02-03,app,989.76,0.0,1028.82
137,254,2024-06-08,21:28:52,enviado,cartão débito,9.76,0,,marketplace,5612.900000000001,0.0,5622.66
138,171,2024-10-12,16:58:37,concluído,pix,18.96,15,2024-10-19,loja física,9417.15,1412.57,8023.54
139,422,2026-02-28,00:23:56,concluído,pix,48.61,0,2026-03-14,marketplace,133.36,0.0,181.97
140,356,2025-06-20,20:11:02,enviado,cartão crédito,15.68,20,,marketplace,139.98,28.0,127.66
141,325,2024-06-05,03:13:29,concluído,cartão débito,28.74,0,2024-06-17,loja física,734.25,0.0,762.99
142,202,2024-08-18,03:35:53,concluído,cartão crédito,46.51,0,2024-08-31,app,38430.41,0.0,38476.92
143,282,2024-07-28,03:44:16,enviado,cartão crédito,36.29,15,,app,8233.12,1234.97,7034.44
144,426,2026-01-25,21:25:29,concluído,pix,40.87,10,2026-01-30,loja física,1348.13,134.81,1254.19
145,72,2025-11-26,18:04:56,enviado,cartão débito,12.08,5,,loja física,9.81,0.49,21.4
146,38,2025-04-24,10:53:34,enviado,cartão crédito,29.84,5,,loja física,8300.039999999999,415.0,7914.88
147,496,2025-07-16,15:47:55,concluído,cartão crédito,44.69,5,2025-07-29,site,1983.1699999999998,99.16,1928.7
148,337,2025-04-23,16:18:07,concluído,pix,8.3,5,2025-04-27,loja física,2291.36,114.57,2185.09
149,170,2025-10-25,06:57:26,cancelado,boleto,21.48,0,,marketplace,175.34,0.0,196.82
150,266,2025-01-13,20:51:00,concluído,cartão débito,34.31,0,2025-01-25,marketplace,279.96,0.0,314.27
151,348,2025-12-25,06:41:44,concluído,cartão débito,24.97,0,2026-01-07,site,227.16,0.0,252.13
152,213,2025-05-04,15:16:50,concluído,boleto,4.28,10,2025-05-09,app,773.29,77.33,700.24
153,234,2024-10-14,10:39:04,concluído,pix,26.0,0,2024-10-20,site,543.18,0.0,569.18
154,232,2024-10-18,22:09:23,concluído,cartão crédito,14.98,10,2024-10-30,site,2230.34,223.03,2022.29
155,332,2025-03-21,21:48:22,concluído,cartão crédito,39.92,15,2025-03-27,app,691.64,103.75,627.81
156,82,2024-10-26,16:32:47,concluído,cartão crédito,21.28,0,2024-11-04,loja física,7041.3,0.0,7062.58
157,96,2025-12-02,18:11:20,enviado,cartão débito,21.56,0,,app,200.43,0.0,221.99
158,200,2024-09-16,05:55:45,concluído,cartão crédito,10.72,0,2024-09-23,site,1979.6,0.0,1990.32
159,447,2024-11-04,17:10:05,concluído,cartão débito,18.25,0,2024-11-17,site,149.55,0.0,167.8
160,251,2025-06-16,18:16:46,concluído,cartão débito,31.89,5,2025-06-30,loja física,3192.49,159.62,3064.76
161,181,2024-10-23,06:13:54,concluído,pix,30.81,10,2024-10-29,marketplace,1249.18,124.92,1155.07
162,303,2025-06-29,07:11:50,processando,cartão crédito,6.68,0,,marketplace,762.92,0.0,769.6
163,356,2024-08-28,12:47:16,concluído,cartão crédito,19.38,5,2024-09-03,loja física,119.54,5.98,132.94
164,326,2025-05-19,22:43:26,concluído,cartão débito,45.87,15,2025-05-27,app,344.12,51.62,338.37
165,148,2025-08-18,09:09:41,concluído,cartão crédito,15.7,0,2025-08-26,site,1160.24,0.0,1175.94
166,488,2026-02-26,10:45:49,processando,cartão crédito,6.81,10,,loja física,7799.64,779.96,7026.49
167,213,2024-11-16,00:27:10,concluído,pix,22.15,0,2024-11-24,site,5550.61,0.0,5572.76
168,113,2024-10-26,02:20:31,enviado,cartão crédito,13.72,5,,app,7282.070000000001,364.1,6931.69
169,290,2024-11-06,23:36:25,enviado,pix,38.22,5,,site,561.65,28.08,571.79
170,397,2024-07-19,17:18:12,concluído,cartão débito,49.45,5,2024-07-24,site,3849.2,192.46,3706.19
171,226,2026-01-07,09:14:26,enviado,cartão débito,49.39,0,,app,15206.74,0.0,15256.13
172,231,2024-10-23,20:07:15,concluído,cartão crédito,43.02,0,2024-10-24,site,119.54,0.0,162.56
173,122,2026-02-22,09:58:51,enviado,cartão crédito,36.81,5,,loja física,14255.1,712.76,13579.15
174,402,2026-01-14,13:39:12,concluído,cartão crédito,10.33,0,2026-01-17,marketplace,10767.98,0.0,10778.31
175,276,2024-10-30,22:47:26,concluído,cartão crédito,48.85,0,2024-11-09,marketplace,10848.84,0.0,10897.69
176,264,2024-12-22,08:28:05,cancelado,boleto,33.9,0,,loja física,269.1,0.0,303.0
177,142,2026-05-05,17:23:28,processando,pix,6.33,15,,app,1469.36,220.4,1255.29
178,425,2026-04-11,21:53:22,concluído,cartão crédito,42.09,0,2026-04-17,app,269.1,0.0,311.19
179,322,2025-04-17,10:14:26,concluído,cartão crédito,22.55,5,2025-04-22,site,229.64000000000001,11.48,240.71
180,143,2025-05-12,05:36:32,concluído,pix,43.78,0,2025-05-24,loja física,1060.35,0.0,1104.13
181,445,2025-10-03,18:53:37,concluído,pix,36.56,10,2025-10-04,loja física,298.83,29.88,305.51
182,358,2026-05-14,00:49:06,enviado,cartão crédito,3.16,5,,app,3766.86,188.34,3581.68
183,423,2025-10-01,21:51:27,cancelado,cartão crédito,13.4,10,,marketplace,5232.36,523.24,4722.52
184,290,2024-08-27,17:20:55,concluído,pix,39.34,15,2024-08-30,site,646.14,96.92,588.56
185,402,2026-04-09,09:14:19,concluído,pix,0.81,15,2026-04-20,app,1128.46,169.27,960.0
186,491,2025-10-11,05:46:51,concluído,cartão crédito,49.69,15,2025-10-12,marketplace,826.8,124.02,752.47
187,449,2024-10-10,22:36:49,concluído,cartão crédito,32.66,0,2024-10-25,marketplace,2423.24,0.0,2455.9
188,333,2024-08-04,21:33:38,enviado,cartão crédito,19.78,0,,app,419.94,0.0,439.72
189,361,2025-01-17,14:03:18,concluído,cartão crédito,10.65,0,2025-01-19,app,140.15,0.0,150.8
190,5,2024-08-09,11:29:36,concluído,cartão crédito,17.14,0,2024-08-17,loja física,7390.65,0.0,7407.79
191,245,2025-03-24,07:10:06,enviado,cartão crédito,19.12,10,,site,1466.23,146.62,1338.73
192,452,2024-09-08,18:01:52,concluído,cartão crédito,19.1,10,2024-09-14,app,56.06,5.61,69.55
193,347,2025-01-04,21:01:10,enviado,cartão crédito,26.47,0,,app,675.87,0.0,702.34
194,110,2024-07-23,19:44:12,concluído,cartão débito,7.55,0,2024-08-04,loja física,8699.9,0.0,8707.45
195,45,2025-02-24,15:58:19,processando,pix,6.99,0,,loja física,16608.09,0.0,16615.08
196,162,2024-06-26,22:49:28,concluído,pix,12.36,5,2024-07-03,app,300.26,15.01,297.61
197,370,2025-09-01,19:02:17,concluído,cartão débito,38.87,5,2025-09-11,marketplace,1022.6400000000001,51.13,1010.38
198,261,2024-12-03,06:25:00,concluído,cartão crédito,19.55,5,2024-12-13,app,3777.91,188.9,3608.56
199,124,2025-06-10,02:26:45,concluído,cartão débito,29.64,5,2025-06-12,site,227.16,11.36,245.44
200,479,2025-06-15,18:28:34,cancelado,cartão crédito,19.3,10,,loja física,1720.6,172.06,1567.84
201,89,2025-11-08,11:47:04,concluído,pix,47.63,10,2025-11-19,site,43.77,4.38,87.02
202,135,2026-01-15,15:10:18,concluído,cartão crédito,46.04,15,2026-01-16,loja física,9018.589999999998,1352.79,7711.84
203,365,2024-08-21,05:01:00,concluído,cartão débito,20.73,10,2024-09-01,site,1745.1299999999999,174.51,1591.35
204,276,2024-06-11,07:00:48,enviado,cartão débito,13.85,0,,app,400.42,0.0,414.27
205,80,2024-07-21,07:58:23,cancelado,cartão débito,19.5,5,,site,13121.19,656.06,12484.63
206,374,2024-12-27,13:54:09,concluído,boleto,11.91,0,2025-01-03,loja física,113.53,0.0,125.44
207,312,2026-01-08,20:20:29,concluído,cartão crédito,33.24,5,2026-01-18,app,580.12,29.01,584.35
208,71,2024-06-09,12:30:45,concluído,pix,8.18,20,2024-06-21,marketplace,5250.25,1050.05,4208.38
209,384,2025-11-02,16:18:15,concluído,pix,13.41,15,2025-11-05,site,1121.67,168.25,966.83
210,140,2025-08-30,07:22:05,concluído,cartão débito,13.12,20,2025-09-06,site,1878.0900000000001,375.62,1515.59
211,185,2026-02-06,21:41:09,concluído,cartão crédito,42.88,0,2026-02-15,app,1687.27,0.0,1730.15
212,458,2024-07-06,10:06:46,concluído,cartão débito,36.07,0,2024-07-08,site,413.4,0.0,449.47
213,7,2024-08-18,03:03:39,concluído,cartão crédito,23.54,0,2024-09-01,app,597.7,0.0,621.24
214,19,2024-11-14,20:23:50,concluído,cartão débito,45.61,10,2024-11-28,loja física,159.24,15.92,188.93
215,214,2025-07-14,14:49:10,concluído,boleto,15.96,10,2025-07-18,marketplace,1376.48,137.65,1254.79
216,462,2026-02-08,21:46:08,concluído,cartão crédito,11.14,5,2026-02-19,site,477.39,23.87,464.66
217,36,2024-06-09,13:10:14,cancelado,pix,43.22,10,,marketplace,205.5,20.55,228.17
218,234,2025-03-22,16:42:58,concluído,cartão crédito,10.01,5,2025-03-31,marketplace,3956.29,197.81,3768.49
219,125,2025-09-15,06:15:02,enviado,cartão débito,29.53,0,,app,737.2,0.0,766.73
220,280,2025-07-12,20:40:56,enviado,pix,12.23,0,,loja física,133.62,0.0,145.85
221,178,2026-01-16,06:39:04,concluído,cartão débito,34.6,0,2026-01-25,marketplace,662.4000000000001,0.0,697.0
222,193,2024-12-27,09:20:11,concluído,pix,36.29,0,2025-01-07,app,212.86,0.0,249.15
223,498,2026-05-28,21:55:49,concluído,boleto,35.51,0,2026-05-29,app,84.09,0.0,119.6
224,267,2025-06-16,08:07:05,processando,cartão crédito,44.69,0,,site,3892.25,0.0,3936.94
225,69,2025-06-06,11:28:40,concluído,cartão débito,19.68,5,2025-06-15,site,14658.66,732.93,13945.41
226,122,2026-01-12,19:39:13,concluído,cartão crédito,42.46,15,2026-01-15,loja física,1718.52,257.78,1503.2
227,377,2025-02-20,16:29:31,enviado,cartão crédito,22.59,0,,app,65.78,0.0,88.37
228,300,2025-09-16,08:06:01,concluído,cartão crédito,5.27,0,2025-09-29,marketplace,12045.34,0.0,12050.61
229,184,2025-05-03,11:23:37,concluído,boleto,10.36,0,2025-05-12,marketplace,4277.41,0.0,4287.77
230,47,2025-02-20,07:32:54,processando,cartão crédito,34.23,10,,site,66.68,6.67,94.24
231,168,2025-03-18,21:44:01,concluído,cartão crédito,35.49,20,2025-04-01,loja física,1236.88,247.38,1024.99
232,154,2025-11-15,12:35:22,concluído,cartão crédito,49.43,0,2025-11-26,loja física,722.44,0.0,771.87
233,285,2026-04-26,07:26:15,processando,pix,12.47,0,,app,6639.83,0.0,6652.3
234,426,2025-02-25,09:13:30,concluído,pix,11.09,0,2025-02-26,loja física,597.7,0.0,608.79
235,481,2025-02-03,17:59:44,concluído,cartão débito,29.06,0,2025-02-14,site,3591.53,0.0,3620.59
236,102,2026-02-28,08:56:00,concluído,boleto,22.13,0,2026-03-02,marketplace,100.02,0.0,122.15
237,26,2024-12-07,00:12:37,concluído,cartão crédito,28.64,10,2024-12-15,loja física,8733.1,873.31,7888.43
238,350,2025-03-11,11:15:07,concluído,cartão crédito,17.66,15,2025-03-18,marketplace,181.06,27.16,171.56
239,77,2025-11-02,11:45:21,concluído,cartão crédito,30.9,0,2025-11-17,marketplace,16157.56,0.0,16188.46
240,282,2025-04-09,09:50:32,concluído,cartão débito,4.38,0,2025-04-24,loja física,13622.310000000001,0.0,13626.69
241,409,2025-03-24,20:21:02,concluído,cartão débito,31.47,10,2025-04-08,site,7355.65,735.56,6651.56
242,401,2025-09-21,08:06:15,cancelado,pix,23.94,10,,marketplace,3307.82,330.78,3000.98
243,258,2024-07-18,08:51:27,processando,cartão crédito,13.49,0,,app,3218.64,0.0,3232.13
244,399,2025-03-07,10:39:50,concluído,cartão crédito,40.35,0,2025-03-20,marketplace,1411.66,0.0,1452.01
245,120,2026-04-13,01:08:27,enviado,boleto,5.0,5,,marketplace,504.03000000000003,25.2,483.83
246,470,2025-02-15,10:12:07,concluído,pix,38.13,15,2025-02-28,loja física,180.39,27.06,191.46
247,433,2026-02-20,03:45:50,concluído,cartão crédito,11.8,0,2026-03-06,marketplace,2497.07,0.0,2508.87
248,15,2024-08-20,17:14:22,processando,pix,17.55,5,,app,4378.8,218.94,4177.41
249,429,2024-06-06,07:18:01,concluído,boleto,43.99,0,2024-06-10,marketplace,526.02,0.0,570.01
250,47,2025-05-24,19:23:25,concluído,cartão crédito,30.02,0,2025-05-25,loja física,1623.72,0.0,1653.74
251,315,2026-04-11,01:52:04,concluído,cartão crédito,6.51,10,2026-04-26,marketplace,425.72,42.57,389.66
252,301,2025-11-28,07:12:27,concluído,pix,7.07,0,2025-12-01,marketplace,2283.45,0.0,2290.52
253,192,2025-04-12,00:02:55,cancelado,pix,33.04,5,,marketplace,1871.02,93.55,1810.51
254,500,2025-12-19,04:52:55,concluído,cartão crédito,47.34,10,2025-12-22,loja física,6130.400000000001,613.04,5564.7
255,90,2026-03-14,19:10:37,enviado,pix,28.04,15,,marketplace,848.25,127.24,749.05
